BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,TOTAL_PURCHASES,PURCHASE_TYPE_RATIO,CREDIT_UTILIZATION,PAYMENT_RATIO,REVOLVER_FLAG,CASH_USAGE_RATIO,ACTIVITY_INDEX,Cluster
40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.802084,139.509787,0.0,12,95.4,0.0,0.0409007489590992,4.93394580783971,1,0.0,2.818182,1
3202.467416,0.909091,0.0,0.0,0.0,2784.6716350000006,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12,0.0,0.0,0.4574953450775006,1.2812097869347348,1,50.79193536708065,1.159091,0
2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,0.75,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12,773.17,0.9999999987066234,0.3326865148889751,0.2493104725030588,1,0.0,14.0,0
1666.670542,0.7222225000000001,1499.0,1444.5750000000005,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1.0,1.0,7500.0,0.0,857.062706,0.0,12,1499.0,0.9999999993328884,0.2222227389037036,0.0,1,0.1372835335975426,1.80303,0
817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1200.0,678.334763,244.791237,0.0,12,16.0,0.9999999375000038,0.6814286119321428,0.8295497989165741,1,0.0,2.083333,1
1809.828751,1.0,1333.28,0.0,1171.625,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,1886.3433455,0.0,12,1333.28,0.0,1.005460416663633,0.7735857707271079,1,0.0,9.0,1
627.260806,1.0,2715.7250000000004,1444.5750000000005,688.38,0.0,1.0,0.75,1.0,0.0,0.0,41.0,13500.0,4178.274025000001,198.065894,0.3571425,12,7091.01,0.9029221505959064,0.0464637634039656,10.130258828685276,0,0.0,42.897727,2
1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.065082,532.03399,0.0,12,436.2,0.0,0.792892496611786,0.3723653443530803,1,0.0,13.0,1
1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,12,861.49,0.7678440831955751,0.1449894961221443,0.6781560887729883,1,0.0,6.083333,0
152.225975,0.7222225000000001,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.302262,0.0,12,1281.6,0.9999999992197252,0.0138387249987419,7.65158891804379,1,0.0,3.712122,0
1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,1083.301007,1886.3433455,0.0,12,920.12,0.0,1.07760411493533,0.8377388553034945,1,0.0,13.0,1
630.794744,0.818182,1492.18,1444.5750000000005,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,2000.0,705.618627,155.549069,0.0,12,1492.18,0.9999999993298396,0.3153973718423013,1.11861842951783,1,0.0,7.068182,1
1516.92862,1.0,2715.7250000000004,1444.5750000000005,717.76,0.0,1.0,0.25,0.916667,0.0,0.0,26.0,3000.0,608.263689,490.207013,0.25,12,3217.99,0.7769539368435099,0.5056428731647857,0.4009837249949284,1,0.0,27.25,1
